Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,CLOSE,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-05-12,EQ,1451.95,"1,456.65","1,408.05","1,450.15","1,410.00",1412.35,"1,426.42","1,475.00",484.75,1349197,"1,92,45,18,245.80",33535
2021-05-14,EQ,1420,"1,421.95","1,354.85","1,412.35","1,373.10",1367,"1,371.98","1,475.00",484.75,1240252,"1,70,16,01,841.10",39286
2021-05-17,EQ,1373.1,"1,400.40","1,362.45","1,367.00","1,394.00",1393.85,"1,386.92","1,475.00",494.1,752061,"1,04,30,51,003.35",27875
2021-05-18,EQ,1405.1,"1,427.85","1,386.10","1,393.85","1,393.00",1392.4,"1,399.07","1,475.00",494.1,1045311,"1,46,24,68,444.85",28712
2021-05-19,EQ,1391,"1,421.90","1,380.40","1,392.40","1,384.25",1389.7,"1,402.17","1,475.00",494.1,908858,"1,27,43,76,520.30",32154
2021-05-20,EQ,1389,"1,389.00","1,365.10","1,389.70","1,376.00",1375.25,"1,376.46","1,475.00",494.1,882951,"1,21,53,47,047.45",25398
2021-05-21,EQ,1380,"1,386.95","1,365.00","1,375.25","1,370.00",1371.85,"1,371.90","1,475.00",494.1,740146,"1,01,54,05,464.15",28774
2021-05-24,EQ,1372.65,"1,376.40","1,350.60","1,371.85","1,375.00",1370.75,"1,364.44","1,475.00",527.85,1445175,"1,97,18,48,822.50",45369
2021-05-25,EQ,1380,"1,399.25","1,354.20","1,370.75","1,378.00",1374.9,"1,373.93","1,475.00",527.85,3091345,"4,24,72,95,852.65",100700
2021-05-26,EQ,1385,"1,431.95","1,381.05","1,374.90","1,408.00",1409.4,"1,409.92","1,475.00",527.85,4302562,"6,06,62,79,917.65",111898
2021-05-27,EQ,1414.95,"1,436.25","1,393.00","1,409.40","1,426.20",1417.15,"1,416.17","1,475.00",527.85,4451326,"6,30,38,43,509.15",69127
